productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extUPC
475417,Sprigatito,Sprigatito,https://tcgplayer-cdn.tcgplayer.com/product/475417_200w.jpg,3,22873,https://cpt.tcgcsv.com/mbQ5,2025-11-21T22:07:11.56,1,013/198,Common,Grass,70,Basic,[1] Scratch (10),[1G] Leafage (20),Rx2,None,1,0.01,0.2,19.89,0.17,0.14,Reverse Holofoil,,
475417,Sprigatito,Sprigatito,https://tcgplayer-cdn.tcgplayer.com/product/475417_200w.jpg,3,22873,https://cpt.tcgcsv.com/mbQ5,2025-11-21T22:07:11.56,1,013/198,Common,Grass,70,Basic,[1] Scratch (10),[1G] Leafage (20),Rx2,None,1,0.01,0.12,20.0,0.11,0.05,Normal,,
475418,Fuecoco,Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/475418_200w.jpg,3,22873,https://cpt.tcgcsv.com/nbQ5,2025-02-07T20:20:33.193,1,036/198,Common,Fire,80,Basic,[1] Gnaw (10),[1RR] Combustion (50),Wx2,,2,0.02,0.15,2.95,0.12,,Reverse Holofoil,,
475418,Fuecoco,Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/475418_200w.jpg,3,22873,https://cpt.tcgcsv.com/nbQ5,2025-02-07T20:20:33.193,1,036/198,Common,Fire,80,Basic,[1] Gnaw (10),[1RR] Combustion (50),Wx2,,2,0.01,0.1,20.0,0.07,,Normal,,
475419,Quaxly,Quaxly,https://tcgplayer-cdn.tcgplayer.com/product/475419_200w.jpg,3,22873,https://cpt.tcgcsv.com/pbQ5,2025-02-07T20:20:33.243,1,052/198,Common,Water,70,Basic,[1] Pound (10),[1W] Kick (20),Lx2,,1,0.01,0.1,19.89,0.06,,Normal,,
475419,Quaxly,Quaxly,https://tcgplayer-cdn.tcgplayer.com/product/475419_200w.jpg,3,22873,https://cpt.tcgcsv.com/pbQ5,2025-02-07T20:20:33.243,1,052/198,Common,Water,70,Basic,[1] Pound (10),[1W] Kick (20),Lx2,,1,0.05,0.22,25.0,0.22,,Reverse Holofoil,,
475420,Miraidon ex - 081/198,Miraidon ex 081 198,https://tcgplayer-cdn.tcgplayer.com/product/475420_200w.jpg,3,22873,https://cpt.tcgcsv.com/qbQ5,2024-11-04T20:08:46.013,1,081/198,Double Rare,Lightning,220,Basic,"[1LL] Photon Blaster (220)
<br>
During your next turn, this PokÃ©mon can't attack.",,Fx2,,1,0.24,0.81,2222.0,0.63,,Holofoil,"<strong>Ability âÂ Tandem Unit</strong>
<br>
Once during your turn, you may search your deck for up to 2 Basic Lightning PokÃ©mon and put them onto your Bench. Then, shuffle your deck.
<br><br>
<em>PokÃ©mon ex rule âÂ When a PokÃ©mon ex has been Knocked Out, your opponent takes 2 Prize cards.</em>",
475421,Koraidon ex - 125/198,Koraidon ex 125 198,https://tcgplayer-cdn.tcgplayer.com/product/475421_200w.jpg,3,22873,https://cpt.tcgcsv.com/rbQ5,2025-10-31T18:25:50.937,1,125/198,Double Rare,Fighting,230,Basic,"[1FF] Wild Impact (220)
<br>
During your next turn, this PokÃ©mon can't attack.",,Px2,,2,0.3,0.99,501.5,0.51,0.33,Holofoil,"<strong>Ability âÂ Dino Cry</strong>
<br>
Once during your turn, you may attach up to 2 Basic Fighting Energy cards from your discard pile to your Basic Fighting PokÃ©mon in any way you like. If you use this ability, your turn ends.
<br><br>
<em>PokÃ©mon ex rule âÂ When a PokÃ©mon ex has been Knocked Out, your opponent takes 2 Prize cards.</em>",
475423,Professor's Research - 189/198,Professors Research 189 198,https://tcgplayer-cdn.tcgplayer.com/product/475423_200w.jpg,3,22873,https://cpt.tcgcsv.com/tbQ5,2025-11-30T03:04:45.97,1,189/198,Rare,Supporter,,,,,,,,0.02,0.25,2.99,0.21,0.15,Reverse Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475423,Professor's Research - 189/198,Professors Research 189 198,https://tcgplayer-cdn.tcgplayer.com/product/475423_200w.jpg,3,22873,https://cpt.tcgcsv.com/tbQ5,2025-11-30T03:04:45.97,1,189/198,Rare,Supporter,,,,,,,,0.01,0.2,19.89,0.07,0.07,Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
