Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Frys,Q00350,Apache Junction,"Apache Junction, AZ","150 E Old West Hwy, Apache Junction, AZ",33.4138415,-111.5438067
Frys,Q00351,Avondale,"Avondale, AZ","1575 N Dysart Rd, Avondale, AZ",33.4630586,-112.3388995
Frys,Q00607,Avondale,"Avondale, AZ","11425 W Buckeye Rd, Avondale, AZ",33.43418,-112.3044035
Frys,Q00352,Buckeye,"Buckeye, AZ","1300 S Watson Rd, Buckeye, AZ",33.4344441,-112.5587719
Frys,Q00373,Buckeye,"Buckeye, AZ","19600 W Indian School Rd, Buckeye, AZ",33.49412170000001,-112.4813449
Frys,Q01912,Buckeye,"Buckeye, AZ","4625 S Miller Rd, Buckeye, AZ",33.404995,-112.588687
Frys,Q00339,Casa Grande,"Casa Grande, AZ","1385 E Florence Blvd, Casa Grande, AZ",32.8785549,-111.7277431
Frys,Q00606,Casa Grande,"Casa Grande, AZ","2858 N Pinal Ave, Casa Grande, AZ",32.9403968,-111.7545715
Safeway,Q01342,Casa Grande,"Casa Grande, AZ","1637 N Trekell Rd, Casa Grande, AZ",32.8960527,-111.7404824
Frys,Q00599,Chandler,"Chandler, AZ","2010 S Alma School Rd, Chandler, AZ",33.2755663,-111.8609223
Frys,Q00614,Chandler,"Chandler, AZ","2929 E Ocotillo Rd, Chandler, AZ",33.2459799,-111.7914627
Safeway,Q01283,Chandler,"Chandler, AZ","1159 W Chandler Blvd, Chandler, AZ",33.3039879,-111.8630068
Safeway,Q01312,Chandler,"Chandler, AZ","1060 E Ray Rd, Chandler, AZ",33.322012,-111.8222044
Albertsons,Q01319,Chandler,"Chandler, AZ","3145 S Alma School Rd, Chandler, AZ",33.2606668,-111.8570449
WinCo Foods,Q01735,Chandler,"Chandler, AZ","222 W Willis Rd, Chandler, AZ",33.2857797,-111.8449667
Safeway,Q01392,Florence,"Florence, AZ","3325 N Hunt Hwy, Florence, AZ",33.0626129,-111.4837624
Frys,Q00321,Gilbert,"Gilbert, AZ","855 W Warner Rd, Gilbert, AZ",33.3340271,-111.8086036
Frys,Q00356,Gilbert,"Gilbert, AZ","87 E Williams Field Rd, Gilbert, AZ",33.3048828,-111.7879169
Frys,Q00374,Gilbert,"Gilbert, AZ","714 S Val Vista Dr, Gilbert, AZ",33.3374516,-111.7571808
Frys,Q00605,Gilbert,"Gilbert, AZ","6470 S Higley Rd, Gilbert, AZ",33.2325413,-111.7232075
Frys,Q01103,Gilbert,"Gilbert, AZ","1845 E Baseline Rd, Gilbert, AZ",33.3769688,-111.7910901
Frys,Q01771,Gilbert,"Gilbert, AZ","1455 N Higley Rd, Gilbert, AZ",33.3767974,-111.7201041
Frys,Q01872,Gilbert,"Gilbert, AZ","3490 S Power Rd, Gilbert, AZ",33.3523835,-111.6900248
WinCo Foods,Q01882,Gilbert,"Gilbert, AZ","1363 N Arizona Ave, Gilbert, AZ",33.3741978,-111.8402762
Frys,Q01921,Gilbert,"Gilbert, AZ","3261 E Pecos Rd, Gilbert, AZ",33.2905417,-111.719966
Frys,Q00609,Glendale,"Glendale, AZ","20220 N 59th Ave, Glendale, AZ",33.6696666,-112.1887179
Frys,Q00775,Glendale,"Glendale, AZ","5116 W Olive Ave, Glendale, AZ",33.5688847,-112.1699408
