Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
King Soopers,Q00265,Arvada,"Arvada, CO","12350 W 64th Ave, Arvada, CO",39.8111941,-105.1365857
King Soopers,Q00438,Arvada,"Arvada, CO","8031 Wadsworth Blvd, Arvada, CO",39.8434311,-105.0838725
King Soopers,Q00642,Arvada,"Arvada, CO","15200 W 64th Ave, Arvada, CO",39.8106276,-105.1719422
King Soopers,Q00744,Arvada,"Arvada, CO","6350 Sheridan Boulevard, Arvada, CO",39.8110721,-105.0515405
King Soopers,Q00746,Arvada,"Arvada, CO","9731 W 58th Ave, Arvada, CO",39.8031326,-105.1067098
King Soopers,Q00752,Arvada,"Arvada, CO","8055 Sheridan Boulevard, Arvada, CO",39.8435809,-105.0568427
King Soopers,Q00107,Aurora,"Aurora, CO","3050 S Peoria St, Aurora, CO",39.6611526,-104.8470742
King Soopers,Q00273,Aurora,"Aurora, CO","15250 E Mississippi Ave, Aurora, CO",39.6951005,-104.8109431
King Soopers,Q00284,Aurora,"Aurora, CO","655 Peoria St, Aurora, CO",39.7264905,-104.849588
King Soopers,Q00433,Aurora,"Aurora, CO","25701 E Smoky Hill Rd, Aurora, CO",39.5875966,-104.6871269
Safeway,Q00621,Aurora,"Aurora, CO","1677 S Havana St, Aurora, CO",39.6863266,-104.8682472
Safeway,Q00660,Aurora,"Aurora, CO","6100 S Gun Club Rd, Aurora, CO",39.604759,-104.7148374
Safeway,Q00663,Aurora,"Aurora, CO","18730 E Hampden Ave, Aurora, CO",39.6513006,-104.7697785
Safeway,Q00689,Aurora,"Aurora, CO","1200 S Buckley Rd, Aurora, CO",39.69455490000001,-104.7892651
King Soopers,Q00735,Aurora,"Aurora, CO","18211 E Hampden Ave, Aurora, CO",39.6549169,-104.7759777
King Soopers,Q00737,Aurora,"Aurora, CO","17000 E Iliff Ave, Aurora, CO",39.6717413,-104.7898356
King Soopers,Q00738,Aurora,"Aurora, CO","4271 S Buckley Rd, Aurora, CO",39.6393879,-104.7934826
King Soopers,Q00743,Aurora,"Aurora, CO","1155 S Havana St, Aurora, CO",39.6958005,-104.8664865
King Soopers,Q01146,Aurora,"Aurora, CO","6412 S Parker Rd, Aurora, CO",39.6002506,-104.8029355
Safeway,Q00435,Boulder,"Boulder, CO","3325 28th St, Boulder, CO",40.0353313,-105.2602617
King Soopers,Q00629,Boulder,"Boulder, CO","1650 30th St, Boulder, CO",40.0158034,-105.2517897
Safeway,Q00665,Boulder,"Boulder, CO","4800 E Baseline Rd, Boulder, CO",40.0002705,-105.0468476
Safeway,Q01180,Boulder,"Boulder, CO","2798 Arapahoe Ave, Boulder, CO",40.0133197,-105.2596624
King Soopers,Q00114,Brighton,"Brighton, CO","100 N 50th Ave, Brighton, CO",39.9888822,-104.7497281
King Soopers,Q00275,Broomfield,"Broomfield, CO","1150 US-287, Broomfield, CO",39.9332002,-105.0880744
King Soopers,Q00724,Broomfield,"Broomfield, CO","12167 Sheridan Boulevard, Broomfield, CO",39.9170996,-105.0555588
King Soopers,Q00753,Broomfield,"Broomfield, CO","2355 W 136th Ave, Broomfield, CO",39.9440792,-105.0130556
Safeway,Q01147,Broomfield,"Broomfield, CO","3602 W 144th Ave, Broomfield, CO",39.9564919,-105.0354682
King Soopers,Q00745,Castle Pines,"Castle Pines, CO","7284 Lagae Rd, Castle Pines, CO",39.4685495,-104.879577
King Soopers,Q00283,Castle Rock,"Castle Rock, CO","750 N Ridge Rd, Castle Rock, CO",39.3746415,-104.8273095
Safeway,Q01096,Castle Rock,"Castle Rock, CO","880 S Perry St, Castle Rock, CO",39.3619974,-104.8609679
King Soopers,Q00272,Centennial,"Centennial, CO","8200 S Holly St, Centennial, CO",39.5675234,-104.9208168
King Soopers,Q00285,Centennial,"Centennial, CO","7575 S University Blvd, Centennial, CO",39.5785509,-104.9614283
Safeway,Q01150,Centennial,"Centennial, CO","7375 E Arapahoe Rd, Centennial, CO",39.5963715,-104.9034805
King Soopers,Q00362,Colorado Springs,"Colorado Springs, CO","6930 N Academy Blvd, Colorado Springs, CO",38.9310157,-104.7968969
Safeway,Q01110,Colorado Springs,"Colorado Springs, CO","3275 W Colorado Ave, Colorado Springs, CO",38.8547268,-104.8770364
Safeway,Q01161,Colorado Springs,"Colorado Springs, CO","1920 S Nevada Ave, Colorado Springs, CO",38.8062344,-104.8234084
Safeway,Q01179,Colorado Springs,"Colorado Springs, CO","2890 N Powers Blvd, Colorado Springs, CO",38.8737349,-104.7223811
Safeway,Q01269,Colorado Springs,"Colorado Springs, CO","1121 N Circle Dr, Colorado Springs, CO",38.8484373,-104.7723255
King Soopers,Q01506,Colorado Springs,"Colorado Springs, CO","3620 Austin Bluffs Pkwy, Colorado Springs, CO",38.8920941,-104.7610271
Safeway,Q01672,Colorado Springs,"Colorado Springs, CO","7055 Austin Bluffs Pkwy, Colorado Springs, CO",38.9324155,-104.7390632
Safeway,Q01686,Colorado Springs,"Colorado Springs, CO","840 Village Center Dr, Colorado Springs, CO",38.9238733,-104.8444735
King Soopers,Q01701,Colorado Springs,"Colorado Springs, CO","3570 Hartsel Dr, Colorado Springs, CO",38.9400951,-104.7602979
Safeway,Q02023,Colorado Springs,"Colorado Springs, CO","2210 N Wahsatch Ave, Colorado Springs, CO",38.8646262,-104.8172815
Safeway,Q02033,Colorado Springs,"Colorado Springs, CO","6520 S Academy Blvd, Colorado Springs, CO",38.7674556,-104.8150018
King Soopers,Q00426,Commerce City,"Commerce City, CO","4850 E 62nd Ave, Commerce City, CO",39.808747,-104.9301075
King Soopers,Q00437,Commerce City,"Commerce City, CO","15051 E 104th Ave, Commerce City, CO",39.8874933,-104.8109439
Safeway,Q01647,Conifer,"Conifer, CO","27152 Main St, Conifer, CO",39.5272844,-105.3034
King Soopers,Q00100,Denver,"Denver, CO","3100 S Sheridan Blvd, Denver, CO",39.6547399,-105.0514138
King Soopers,Q00268,Denver,"Denver, CO","5125 W Florida Ave, Denver, CO",39.6907321,-105.0521388
King Soopers,Q00270,Denver,"Denver, CO","1575 W 84th Ave, Denver, CO",39.8503795,-105.0046816
King Soopers,Q00287,Denver,"Denver, CO","825 S Colorado Blvd, Denver, CO",39.7017587,-104.9411669
King Soopers,Q00398,Denver,"Denver, CO","2727 W Evans Ave, Denver, CO",39.6800873,-105.0213464
King Soopers,Q00430,Denver,"Denver, CO","890 S Monaco St Pkwy, Denver, CO",39.7010176,-104.911327
King Soopers,Q00439,Denver,"Denver, CO","2750 S Colorado Blvd, Denver, CO",39.666764,-104.9368776
King Soopers,Q00442,Denver,"Denver, CO","1355 Krameria St, Denver, CO",39.7377231,-104.9162638
King Soopers,Q00443,Denver,"Denver, CO","10406 M.L.K. Jr Blvd, Denver, CO",39.7595228,-104.86665
Safeway,Q00635,Denver,"Denver, CO","2150 S Downing St, Denver, CO",39.6776747,-104.9728461
Safeway,Q00641,Denver,"Denver, CO","200 Quebec St, Denver, CO",39.7202905,-104.9008767
Safeway,Q00649,Denver,"Denver, CO","6460 E Yale Ave, Denver, CO",39.6674191,-104.9156606
Safeway,Q00650,Denver,"Denver, CO","6220 E 14th Ave, Denver, CO",39.737212,-104.9156076
Safeway,Q00652,Denver,"Denver, CO","2660 N Federal Blvd, Denver, CO",39.7556009,-105.0246933
Safeway,Q00653,Denver,"Denver, CO","3800 W 44th Ave, Denver, CO",39.7762025,-105.0369768
Safeway,Q00667,Denver,"Denver, CO","757 E 20th Ave, Denver, CO",39.7477101,-104.977904
