Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Kroger,Q00602,Acworth,"Acworth, GA","3330 Cobb Pkwy NW, Acworth, GA",34.0363297,-84.6768421
Kroger,Q00601,Alpharetta,"Alpharetta, GA","10945 State Bridge Rd, Alpharetta, GA",34.0489543,-84.2221567
Kroger,Q00718,Alpharetta,"Alpharetta, GA","3000 Old Alabama Rd, Alpharetta, GA",34.0228701,-84.2721672
Kroger,Q00726,Alpharetta,"Alpharetta, GA","12460 Crabapple Rd, Alpharetta, GA",34.08567290000001,-84.35708029999999
Kroger,Q00809,Alpharetta,"Alpharetta, GA","12870 GA-9 N, Alpharetta, GA",34.6478237,-83.9081692
Kroger,Q01258,Alpharetta,"Alpharetta, GA","5665 Atlanta Hwy, Alpharetta, GA",34.145101,-84.2497755
Kroger,Q00633,Atlanta,"Atlanta, GA","1715 Howell Mill Rd NW, Atlanta, GA",33.8011648,-84.4143189
Kroger,Q00723,Atlanta,"Atlanta, GA","4920 Roswell Rd, Atlanta, GA",33.8885729,-84.38237749999999
Kroger,Q00725,Atlanta,"Atlanta, GA","3030 Headland Dr SW, Atlanta, GA",33.6892022,-84.48804310000001
Kroger,Q00819,Atlanta,"Atlanta, GA","3425 Cascade Rd, Atlanta, GA",33.7243034,-84.49911279999999
Kroger,Q01045,Atlanta,"Atlanta, GA","2090 Dunwoody Club Dr, Atlanta, GA",33.9607546,-84.30102649999999
Kroger,Q01048,Atlanta,"Atlanta, GA","1225 Caroline St NE, Atlanta, GA",33.756145,-84.34807359999999
Kroger,Q01064,Atlanta,"Atlanta, GA","3871 Peachtree Rd NE, Atlanta, GA",33.8565205,-84.34489579999999
Kroger,Q01084,Atlanta,"Atlanta, GA","2205 Lavista Rd NE, Atlanta, GA",33.8156147,-84.3137351
Kroger,Q01099,Atlanta,"Atlanta, GA","590 Cascade Ave SW, Atlanta, GA",33.7378085,-84.4331505
Kroger,Q01155,Atlanta,"Atlanta, GA","2685 Metropolitan Pkwy SW, Atlanta, GA",33.68245539999999,-84.4084002
Kroger,Q01213,Atlanta,"Atlanta, GA","3559 Chamblee Tucker Rd, Atlanta, GA",33.8836757,-84.2478002
Kroger,Q01257,Atlanta,"Atlanta, GA","800 Glenwood Ave SE, Atlanta, GA",33.7423496,-84.3601955
Kroger,Q01261,Atlanta,"Atlanta, GA","227 Sandy Springs Pl NE, Atlanta, GA",33.9205413,-84.382149
Kroger,Q01063,Brookhaven,"Brookhaven, GA","3855 Buford Hwy NE, Brookhaven, GA",33.8554178,-84.31460039999999
Kroger,Q01071,Buford,"Buford, GA","3300 Hamilton Mill Rd, Buford, GA",34.0931666,-83.93777349999999
Kroger,Q01021,Calhoun,"Calhoun, GA","136 W Belmont Dr, Calhoun, GA",34.4766373,-84.93537309999999
Kroger,Q00588,Canton,"Canton, GA","8020 Cumming Hwy, Canton, GA",34.2539974,-84.35832429999999
Kroger,Q01065,College Park,"College Park, GA","6055 Old National Hwy, College Park, GA",33.5903773,-84.4705252
Kroger,Q01255,Conyers,"Conyers, GA","1745 Hwy 138 SE, Conyers, GA",33.6439109,-84.0164119
Kroger,Q00617,Covington,"Covington, GA","3139 Hwy 278 NE, Covington, GA",33.6029648,-83.8495391
Kroger,Q00666,Covington,"Covington, GA","5341 Hwy 20 S, Covington, GA",33.5494001,-84.0167007
Kroger,Q00675,Covington,"Covington, GA","3700 Salem Rd, Covington, GA",33.5940033,-83.9697594
Kroger,Q01061,Cumming,"Cumming, GA","2325 Bethelview Rd, Cumming, GA",34.2383802,-84.19312599999999
Kroger,Q01221,Cumming,"Cumming, GA","2655 Freedom Pkwy, Cumming, GA",34.2507718,-84.091162
Kroger,Q01263,Cumming,"Cumming, GA","5550 Bethelview Rd, Cumming, GA",34.1710888,-84.1844344
Kroger,Q00862,Dallas,"Dallas, GA","457 Nathan Dean Blvd, Dallas, GA",33.9105447,-84.82196379999999
Kroger,Q01054,Dallas,"Dallas, GA","8876 Dallas Acworth Hwy, Dallas, GA",34.0108407,-84.7523161
Kroger,Q00767,Decatur,"Decatur, GA","2875 N Decatur Rd, Decatur, GA",33.7918448,-84.2734116
Kroger,Q01015,Decatur,"Decatur, GA","2385 Wesley Chapel Rd, Decatur, GA",33.7184221,-84.21750500000002
Kroger,Q01069,Decatur,"Decatur, GA","3479 Memorial Dr, Decatur, GA",33.7520786,-84.269334
Kroger,Q00669,Douglasville,"Douglasville, GA","3875 Chapel Hill Rd, Douglasville, GA",33.6996733,-84.7173976
Kroger,Q01072,Douglasville,"Douglasville, GA","8501 Hospital Dr, Douglasville, GA",33.74937,-84.73126789999999
Kroger,Q00634,Duluth,"Duluth, GA","6555 Sugarloaf Pkwy, Duluth, GA",33.9981092,-84.0898994
Kroger,Q01226,Duluth,"Duluth, GA","3455 Peachtree Industrial Blvd, Duluth, GA",34.005523,-84.1738306
Kroger,Q01275,Dunwoody,"Dunwoody, GA","4498 Chamblee Dunwoody Rd, Dunwoody, GA",33.9226245,-84.3159081
Kroger,Q00472,Ellenwood,"Ellenwood, GA","101 Fairview Rd, Ellenwood, GA",33.6198942,-84.23777900000002
Kroger,Q00473,Fayetteville,"Fayetteville, GA","805 Glynn St S, Fayetteville, GA",33.432929,-84.4587449
Kroger,Q01056,Flowery Branch,"Flowery Branch, GA","7380 Spout Springs Rd, Flowery Branch, GA",34.1077017,-83.8754198
Kroger,Q00637,Gainesville,"Gainesville, GA","1931 Jesse Jewell Pkwy SE, Gainesville, GA",34.3150171,-83.7975718
Kroger,Q00872,Gainesville,"Gainesville, GA","3630 Thompson Bridge Rd, Gainesville, GA",34.3741169,-83.8705363
Kroger,Q01272,Grayson,"Grayson, GA","1911 Grayson Hwy, Grayson, GA",33.8977826,-83.96092759999999
Kroger,Q00676,Jonesboro,"Jonesboro, GA","8059 Tara Blvd, Jonesboro, GA",33.5342981,-84.36652699999999
Kroger,Q00619,Lake City,"Lake City, GA","5664 Jonesboro Rd, Lake City, GA",33.6002627,-84.3369498
Kroger,Q00624,Lawrenceville,"Lawrenceville, GA","1475 Buford Dr, Lawrenceville, GA",34.0040657,-83.98708490000001
Kroger,Q01545,Lawrenceville,"Lawrenceville, GA","2100 Riverside Pkwy, Lawrenceville, GA",33.9660208,-84.0338455
Kroger,Q00643,Lilburn,"Lilburn, GA","4155 Lawrenceville Hwy NW, Lilburn, GA",33.90475139999999,-84.1209647
Kroger,Q01046,Loganville,"Loganville, GA","4753 Atlanta Hwy, Loganville, GA",33.8311385,-83.8842645
Kroger,Q01262,Loganville,"Loganville, GA","910 Athens Hwy, Loganville, GA",33.8598748,-83.95575889999999
Kroger,Q00640,Marietta,"Marietta, GA","2100 Roswell Rd, Marietta, GA",33.9687541,-84.48848799999999
Kroger,Q00712,Marietta,"Marietta, GA","2960 Shallowford Rd, Marietta, GA",34.0348698,-84.4665455
Kroger,Q00790,Marietta,"Marietta, GA","3600 Dallas Hwy SW, Marietta, GA",33.9551098,-84.6551886
Kroger,Q00796,Marietta,"Marietta, GA","4880 Lower Roswell Rd, Marietta, GA",33.9651216,-84.4089175
Kroger,Q00834,Marietta,"Marietta, GA","3595 Canton Rd, Marietta, GA",34.0391419,-84.5291822
Kroger,Q01013,Marietta,"Marietta, GA","3162 Johnson Ferry Rd, Marietta, GA",34.0268599,-84.422771
Kroger,Q01059,Marietta,"Marietta, GA","1690 Powder Springs Rd SW, Marietta, GA",33.9071525,-84.6029772
Kroger,Q01068,Marietta,"Marietta, GA","1000 Whitlock Ave NW, Marietta, GA",33.9533355,-84.5812941
Kroger,Q00480,Newnan,"Newnan, GA","1751 Newnan Xing Blvd E, Newnan, GA",33.3737592,-84.7539585
Kroger,Q01074,Newnan,"Newnan, GA","3150 GA-34 E, Newnan, GA",33.4083615,-84.67983009999999
Kroger,Q01062,Peachtree City,"Peachtree City, GA","564 Crosstown Drive, Peachtree City, GA",33.3764747,-84.563177
Kroger,Q01042,Powder Springs,"Powder Springs, GA","4400 Brownsville Rd, Powder Springs, GA",33.8467806,-84.69853440000001
Kroger,Q01077,Powder Springs,"Powder Springs, GA","4150 Macland Rd, Powder Springs, GA",33.9039059,-84.6742684
Kroger,Q00729,Roswell,"Roswell, GA","2300 Holcomb Bridge Rd, Roswell, GA",34.0052696,-84.29566500000001
Kroger,Q00762,Roswell,"Roswell, GA","570 E Crossville Rd, Roswell, GA",34.0399621,-84.3455286
Kroger,Q01264,Roswell,"Roswell, GA","900 Marietta Hwy, Roswell, GA",34.0040475,-84.38943909999999
Kroger,Q00680,Snellville,"Snellville, GA","3035 Scenic Hwy S, Snellville, GA",33.8248155,-84.0330591
Kroger,Q01234,Snellville,"Snellville, GA","1670 Scenic Hwy N, Snellville, GA",33.8830328,-84.007984
