Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Albertsons,Q01063,Boise,"Boise, ID","3614 W State St, Boise, ID",-116.2326694,43.6400348
Albertsons,Q01459,Boise,"Boise, ID","10700 W Ustick Rd, Boise, ID",-116.3163454,43.6346066
Albertsons,Q01468,Boise,"Boise, ID","4700 N Eagle Rd, Boise, ID",-116.3522331,43.6474515
Albertsons,Q01518,Boise,"Boise, ID","1653 S Vista Ave, Boise, ID",-116.2155766,43.5892209
Albertsons,Q02304,Boise,"Boise, ID","6560 S Federal Way, Boise, ID",-116.1535071,43.5428019
Albertsons,Q02337,Boise,"Boise, ID","7100 W State St, Boise, ID",-116.2776558,43.6689138
Fred Meyer,Q01453,Boise,"Boise, ID","5230 W Franklin Rd, Boise, ID",-116.2460125,43.6028212
Fred Meyer,Q01714,Boise,"Boise, ID","3527 S Federal Way, Boise, ID",-116.1875233,43.5680283
Fred Meyer,Q02037,Boise,"Boise, ID","10751 W Overland Rd, Boise, ID",-116.3164225,43.5892982
WinCo Foods,Q01426,Boise,"Boise, ID","8200 W Fairview Ave, Boise, ID",-116.2843544,43.6195253
WinCo Foods,Q02052,Boise,"Boise, ID","110 E Myrtle St, Boise, ID",-116.1983424,43.6094192
WinCo Foods,Q01698,Eagle,"Eagle, ID","3032 E State St, Eagle, ID",-116.3150335,43.685839
Albertsons,Q01429,Emmett,"Emmett, ID","640 ID-16, Emmett, ID",-116.4912508,43.8624564
Fred Meyer,Q01746,Garden City,"Garden City, ID","5425 W Chinden Blvd, Garden City, ID",-116.2763489,43.6455156
Albertsons,Q02049,Kuna,"Kuna, ID","700 E Avalon St, Kuna, ID",-116.4051421,43.4896723
Fred Meyer,Q01520,Meridian,"Meridian, ID","1400 W Chinden Blvd, Meridian, ID",-116.4102176,43.6633626
WinCo Foods,Q01707,Meridian,"Meridian, ID","1050 S Progress Ave, Meridian, ID",-116.3896722,43.5962274
WinCo Foods,Q02148,Meridian,"Meridian, ID","1407 W Chinden Blvd, Meridian, ID",-116.41184,43.661048
WinCo Foods,Q01440,Nampa,"Nampa, ID","1175 N Happy Valley Rd, Nampa, ID",-116.5151168,43.5946599
