Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Kroger,Q01149,Brownsburg,"Brownsburg, IN","975 N Green St, Brownsburg, IN",-86.3926529,39.8560226
Jewel-Osco,Q01424,Crown Point,"Crown Point, IN","1276 N Main St, Crown Point, IN",-87.363082,41.4317759
Jewel-Osco,Q02291,Dyer,"Dyer, IN","805 Joliet St, Dyer, IN",-87.5082047,41.4948432
Kroger,Q01016,Fishers,"Fishers, IN","11700 Olio Rd, Fishers, IN",-85.9224072,39.9597079
Kroger,Q01091,Fishers,"Fishers, IN","7450 Fishers Station Dr, Fishers, IN",-86.0371354,39.9585143
Kroger,Q02051,Fishers,"Fishers, IN","9799 E 116th St, Fishers, IN",-85.995841,39.9551525
Kroger,Q01948,Franklin,"Franklin, IN","970 N Morton St, Franklin, IN",-86.06713,39.4887453
Kroger,Q01076,Greenwood,"Greenwood, IN","2200 Independence Dr, Greenwood, IN",-86.1023272,39.5843881
Kroger,Q01779,Greenwood,"Greenwood, IN","5961 N State Rd 135, Greenwood, IN",-86.1556219,39.5621324
Food 4 Less,Q01087,Hammond,"Hammond, IN","1724 165th St, Hammond, IN",-87.4867824,41.5938423
Kroger,Q00852,Indianapolis,"Indianapolis, IN","5718 Crawfordsville Rd, Indianapolis, IN",-86.2610929,39.7993099
Kroger,Q01014,Indianapolis,"Indianapolis, IN","5911 Madison Ave, Indianapolis, IN",-86.13097,39.6807116
Kroger,Q01106,Indianapolis,"Indianapolis, IN","4445 E 10th St, Indianapolis, IN",-86.0938671,39.7802915
Kroger,Q01476,Indianapolis,"Indianapolis, IN","1330 W Southport Rd, Indianapolis, IN",-86.1826458,39.665191
Kroger,Q01488,Indianapolis,"Indianapolis, IN","680 Twin Aire Dr, Indianapolis, IN",-86.1149797,39.7577981
Kroger,Q01740,Indianapolis,"Indianapolis, IN","8130 E Southport Rd, Indianapolis, IN",-86.0212452,39.6688033
Kroger,Q01974,Indianapolis,"Indianapolis, IN","4202 S East St, Indianapolis, IN",-86.1493272,39.7058523
Kroger,Q01978,Indianapolis,"Indianapolis, IN","7101 E 10th St, Indianapolis, IN",-86.0422776,39.7808103
Kroger,Q01396,Noblesville,"Noblesville, IN","172 Logan St, Noblesville, IN",-86.0197306,40.0498258
Kroger,Q01824,Noblesville,"Noblesville, IN","14800 Hazel Dell Crossing, Noblesville, IN",-86.068098,40.0033751
Kroger,Q02496,Noblesville,"Noblesville, IN","14744 Union Market Square Dr, Noblesville, IN",-86.0023626,39.9807005
Kroger,Q01080,Westfield,"Westfield, IN","150 W 161st St, Westfield, IN",-86.1613458,40.0218665
Kroger,Q02249,Westfield,"Westfield, IN","17447 Carey Rd, Westfield, IN",-86.1055159,40.0409417
