Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Shaw's,Q01868,Ashland,"Ashland, MA","301 Pond St, Ashland, MA",-71.4330904,42.2409072
Shaw's,Q01869,Auburn,"Auburn, MA","368 Southbridge St, Auburn, MA",-71.8379007,42.2059728
Shaw's,Q02160,Beverly,"Beverly, MA","71 Dodge St, Beverly, MA",-70.8884084,42.5771047
Shaw's,Q02235,Boston,"Boston, MA","246 Border St, Boston, MA",-71.0404134,42.3766408
Shaw's,Q00460,Braintree,"Braintree, MA","105 Pearl St, Braintree, MA",-71.0014881,42.2016679
Shaw's,Q01582,Brockton,"Brockton, MA","641 Belmont St, Brockton, MA",-71.0458364,42.0721772
Shaw's,Q01764,Brockton,"Brockton, MA","715 Crescent St, Brockton, MA",-70.9897921,42.0805348
Shaw's,Q01583,Canton,"Canton, MA","95 Washington St, Canton, MA",-71.1460443,42.1396013
Shaw's,Q02253,Carver,"Carver, MA","100 N Main St, Carver, MA",-70.806392,41.923443
Shaw's,Q02169,Cohasset,"Cohasset, MA","739 Chief Justice Cushing Hwy, Cohasset, MA",-70.8047251,42.2214977
Shaw's,Q01457,Dartmouth,"Dartmouth, MA","15 State Rd, Dartmouth, MA",-70.9615904,41.6361645
Shaw's,Q01441,Fall River,"Fall River, MA","4171 N Main St, Fall River, MA",-71.1208993,41.7508914
Shaw's,Q01765,Franklin,"Franklin, MA","255 E Central St, Franklin, MA",-71.3866709,42.0813829
Shaw's,Q02245,Groton,"Groton, MA","760 A Boston Rd, Groton, MA",-71.5239916,42.5799145
Shaw's,Q01753,Hanover,"Hanover, MA","35 Columbia Rd, Hanover, MA",-70.8235649,42.1172593
Shaw's,Q01761,Hyannis,"Hyannis, MA","625 W Main St, Hyannis, MA",-70.3184952,41.6519226
Shaw's,Q01578,Mansfield,"Mansfield, MA","390 West St, Mansfield, MA",-71.231736,42.0236407
Star Market,Q01540,Marshfield,"Marshfield, MA","1 Snow Rd, Marshfield, MA",-70.7081452,42.0913382
Shaw's,Q00540,Medway,"Medway, MA","65 Main St, Medway, MA",-71.403251,42.1520835
Shaw's,Q02228,Melrose,"Melrose, MA","34 Essex St, Melrose, MA",-71.0660265,42.4562287
Shaw's,Q01461,Milford,"Milford, MA","93 Prospect St, Milford, MA",-71.5335402,42.1388342
Shaw's,Q01575,North Attleborough,"North Attleborough, MA","125 Robert F Toner Blvd, North Attleborough, MA",-71.3009697,41.9708459
Shaw's,Q01567,North Easton,"North Easton, MA","690 Depot St, North Easton, MA",-71.1164429,42.0242698
Shaw's,Q01584,Norwood,"Norwood, MA","134 Nahatan St, Norwood, MA",-71.196726,42.192538
Shaw's,Q01666,Orleans,"Orleans, MA","9 West Rd, Orleans, MA",-70.0021638,41.7808356
Shaw's,Q02155,Peabody,"Peabody, MA","128 Essex Center Dr, Peabody, MA",-70.9489215,42.5394149
Shaw's,Q02162,Plymouth,"Plymouth, MA","2260 State Rd, Plymouth, MA",-70.5504775,41.8208995
Stop & Shop,Q01150,Quincy,"Quincy, MA","65 Newport Ave, Quincy, MA",-71.0266628,42.271111
Stop & Shop,Q01592,Quincy,"Quincy, MA","495 Southern Artery, Quincy, MA",-70.9949873,42.2527813
Shaw's,Q01661,Randolph,"Randolph, MA","121 Memorial Pkwy, Randolph, MA",-71.0455517,42.1638197
Shaw's,Q01760,Raynham,"Raynham, MA","300 New State Hwy, Raynham, MA",-71.0553482,41.9066203
Shaw's,Q01751,Sharon,"Sharon, MA","780 S Main St, Sharon, MA",-71.2201765,42.0939331
Shaw's,Q02242,South Yarmouth,"South Yarmouth, MA","1108 State Rd, South Yarmouth, MA",-70.1991616,41.6722564
Shaw's,Q02227,Teaticket,"Teaticket, MA","137 Teaticket Hwy, Teaticket, MA",-70.5961025,41.5618562
Shaw's,Q01812,Wakefield,"Wakefield, MA","134 Water St, Wakefield, MA",-71.0640087,42.5031383
Shaw's,Q01886,Waltham,"Waltham, MA","130 River St, Waltham, MA",-71.2215263,42.3692525
Shaw's,Q02167,Wareham,"Wareham, MA","127 Marion Rd, Wareham, MA",-70.7288345,41.7596904
Shaw's,Q01852,Whitinsville,"Whitinsville, MA","1177 Providence Rd, Whitinsville, MA",-71.6460595,42.1240406
Shaw's,Q01465,Worcester,"Worcester, MA","14 W Boylston St, Worcester, MA",-71.8065436,42.2886595
Shaw's,Q02161,Worcester,"Worcester, MA","68 Stafford St, Worcester, MA",-71.8430504,42.2410815
