Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Safeway,Q01380,Annapolis,"Annapolis, MD","2635 Housley Rd, Annapolis, MD",38.98722120000001,-76.555145
Safeway,Q01361,Arnold,"Arnold, MD","1451 Ritchie Hwy, Arnold, MD",39.0302741,-76.50392939999999
Safeway,Q01355,Baltimore,"Baltimore, MD","4401 Harford Rd, Baltimore, MD",39.3397166,-76.5714131
Safeway,Q01364,Baltimore,"Baltimore, MD","2610 Boston St, Baltimore, MD",39.2805448,-76.57882239999999
Safeway,Q01369,Baltimore,"Baltimore, MD","5660 Baltimore National Pike, Baltimore, MD",39.2897643,-76.73058590000001
Safeway,Q01356,Bowie,"Bowie, MD","12410 Fairwood Pkwy, Bowie, MD",38.96529659999999,-76.7890121
Safeway,Q01554,Brandywine,"Brandywine, MD","15916 S Crain Hwy, Brandywine, MD",38.6742869,-76.8726559
Safeway,Q01501,Clinton,"Clinton, MD","8785 Branch Ave, Clinton, MD",38.76906450000001,-76.8895709
Safeway,Q01354,Columbia,"Columbia, MD","5485 Harpers Farm Rd A, Columbia, MD",39.223316,-76.8894
Safeway,Q01425,Damascus,"Damascus, MD","9807 Main St, Damascus, MD",39.290206,-77.202209
Safeway,Q01379,Eldersburg,"Eldersburg, MD","1313 Londontown Blvd, Eldersburg, MD",39.4072095,-76.94899649999999
Safeway,Q01559,Fort Washington,"Fort Washington, MD","990 Swan Creek Rd E, Fort Washington, MD",38.726917,-76.99184749999999
Safeway,Q01443,Germantown,"Germantown, MD","19718 Germantown Rd, Germantown, MD",39.1807395,-77.26627289999999
Safeway,Q01365,Greenbelt,"Greenbelt, MD","7595 Greenbelt Rd, Greenbelt, MD",38.992391,-76.8768478
Safeway,Q01378,Hanover,"Hanover, MD","7643 Arundel Mills Blvd, Hanover, MD",39.1520006,-76.72271309999999
Safeway,Q01372,Hyattsville,"Hyattsville, MD","3702 East-West Hwy, Hyattsville, MD",38.9667816,-76.951123
Safeway,Q01550,La Plata,"La Plata, MD","40 Shining Willow Way, La Plata, MD",38.5424218,-76.98212769999999
Safeway,Q01368,Mount Airy,"Mount Airy, MD","337 E Ridgeville Blvd, Mount Airy, MD",39.3645732,-77.1601886
Safeway,Q01423,Olney,"Olney, MD","3333 Spartan Rd, Olney, MD",39.1511895,-77.0657217
Safeway,Q01363,Owings Mills,"Owings Mills, MD","10335 Reisterstown Rd, Owings Mills, MD",39.4182384,-76.7763013
Safeway,Q01439,Oxon Hill,"Oxon Hill, MD","6235 Oxon Hill Rd, Oxon Hill, MD",38.8046856,-76.9853777
Safeway,Q01390,Parkville,"Parkville, MD","8858 Waltham Woods Rd, Parkville, MD",39.40020519999999,-76.5439552
Safeway,Q01431,Rockville,"Rockville, MD","14939 Shady Grove Rd, Rockville, MD",39.09800300000001,-77.1921888
Safeway,Q01471,Rockville,"Rockville, MD","403 Redland Blvd, Rockville, MD",39.1129515,-77.1716447
Safeway,Q01428,Silver Spring,"Silver Spring, MD","10101 New Hampshire Ave, Silver Spring, MD",39.0206666,-76.9760974
Safeway,Q01430,Silver Spring,"Silver Spring, MD","15411 New Hampshire Ave, Silver Spring, MD",39.1083725,-76.9961311
Safeway,Q01381,Towson,"Towson, MD","1017 York Rd, Towson, MD",39.4116297,-76.6089581
Safeway,Q01499,Upper Marlboro,"Upper Marlboro, MD","7605 Crain Hwy, Upper Marlboro, MD",38.7864052,-76.7941215
Safeway,Q01505,Waldorf,"Waldorf, MD","10 King St, Waldorf, MD",38.602669,-76.9015067
Safeway,Q01377,Westminster,"Westminster, MD","444 WMC Dr, Westminster, MD",39.5867343,-77.01341359999999
