Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Kroger,Q01003,Brownstown,"Brownstown, MI","23849 West Rd, Brownstown, MI",-83.2641067,42.1377094
Kroger,Q02077,Brownstown,"Brownstown, MI","20645 Gibraltar Rd, Brownstown, MI",-83.2348751,42.0940394
Kroger,Q00865,Canton,"Canton, MI","1905 N Canton Center Rd, Canton, MI",-83.4918888,42.3192215
Kroger,Q00871,Farmington Hills,"Farmington Hills, MI","25780 Middlebelt Rd, Farmington Hills, MI",-83.3370232,42.4837482
Kroger,Q02254,Grand Blanc,"Grand Blanc, MI","12731 S Saginaw St, Grand Blanc, MI",-83.6187962,42.9200812
Kroger,Q00853,Howell,"Howell, MI","108 W Highland Rd, Howell, MI",-83.9276128,42.6243183
Kroger,Q00815,Imlay City,"Imlay City, MI","1821 S Cedar St, Imlay City, MI",-83.0710987,43.0116776
Kroger,Q00885,Livonia,"Livonia, MI","30935 Five Mile Rd, Livonia, MI",-83.3487156,42.3966757
Kroger,Q01089,Macomb,"Macomb, MI","21555 21 Mile Rd, Macomb, MI",-82.9007625,42.6440773
Kroger,Q00856,Northville,"Northville, MI","17447 Haggerty Rd, Northville, MI",-83.4355066,42.4133094
Kroger,Q00849,Pinckney,"Pinckney, MI","9700 Chilson Commons Cir, Pinckney, MI",-83.8311739,42.461987
Kroger,Q01082,Rochester,"Rochester, MI","4888 N Adams Rd, Rochester, MI",-83.1989763,42.7266769
Kroger,Q00684,Taylor,"Taylor, MI","7000 Monroe Blvd, Taylor, MI",-83.2512698,42.257541
Kroger,Q00801,Warren,"Warren, MI","28250 Dequindre Rd, Warren, MI",-83.082423,42.5007363
Kroger,Q00858,Warren,"Warren, MI","26233 Hoover Rd, Warren, MI",-83.0077693,42.4867145
Kroger,Q00867,Waterford,"Waterford, MI","5111 Highland Rd, Waterford, MI",-83.3871185,42.6589765
Westland Shopping Center,Q00696,Westland,"Westland, MI","35000 Warren Rd, Westland, MI",-83.3892884,42.3406962
Kroger,Q00863,Ypsilanti,"Ypsilanti, MI","2010 Whittaker Rd, Ypsilanti, MI",-83.6210413,42.2119466
