Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Harris Teeter,Q01069,Charlotte,"Charlotte, NC","11135 Golf Links Dr, Charlotte, NC",-80.7724943,35.0518255
Harris Teeter,Q01439,Charlotte,"Charlotte, NC","2717 South Blvd, Charlotte, NC",-80.8658475,35.2007862
Harris Teeter,Q01481,Charlotte,"Charlotte, NC","1704 Central Ave, Charlotte, NC",-80.8103544,35.21966
Harris Teeter,Q01589,Charlotte,"Charlotte, NC","13000 S Tryon St, Charlotte, NC",-80.9908197,35.1032504
Harris Teeter,Q02341,Charlotte,"Charlotte, NC","4701 Smith Farm Rd, Charlotte, NC",-80.94047,35.32781
Harris Teeter,Q02350,Charlotte,"Charlotte, NC","8600 University City Blvd, Charlotte, NC",-80.7385154,35.2962529
Harris Teeter,Q02358,Charlotte,"Charlotte, NC","3333 Pineville-Matthews Rd, Charlotte, NC",-80.7845098,35.0964292
Harris Teeter,Q02366,Charlotte,"Charlotte, NC","15007 John J Delaney Dr, Charlotte, NC",-80.8490228,35.0531034
Harris Teeter,Q01569,Indian Trail,"Indian Trail, NC","6610 Old Monroe Rd, Indian Trail, NC",-80.6485593,35.0472195
Harris Teeter,Q02367,Matthews,"Matthews, NC","1811 Matthews Township Pkwy, Matthews, NC",-80.7090806,35.1233073
Harris Teeter,Q01586,Waxhaw,"Waxhaw, NC","8157 Kensington Dr, Waxhaw, NC",-80.7585078,34.9548977
Harris Teeter,Q01674,Wesley Chapel,"Wesley Chapel, NC","5920 Weddington Rd, Wesley Chapel, NC",-80.700042,34.9998426
