Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Shaw's,Q01496,Concord,"Concord, NH","20 D'Amante Dr, Concord, NH",-71.4898447,43.2222023
Shaw's,Q02114,Hillsborough,"Hillsborough, NH","276 W Main St, Hillsborough, NH",-71.9155807,43.1099563
Shaw's,Q01816,Hooksett,"Hooksett, NH","1328 Hooksett Rd, Hooksett, NH",-71.4430169,43.055651
Shaw's,Q02173,Merrimack,"Merrimack, NH","7 Continental Blvd, Merrimack, NH",-71.4987616,42.8368912
Shaw's,Q01498,Milford,"Milford, NH","586 Nashua St, Milford, NH",-71.6244067,42.8249655
Shaw's,Q01450,Nashua,"Nashua, NH","213 Daniel Webster Hwy, Nashua, NH",-71.4455206,42.712193
Shaw's,Q01480,Nashua,"Nashua, NH","300 Main St, Nashua, NH",-71.4603621,42.7524682
Shaw's,Q01506,Peterborough,"Peterborough, NH","135 Dublin Rd, Peterborough, NH",-71.9624552,42.8761386
Shaw's,Q01883,Plaistow,"Plaistow, NH","4 Plaistow Rd, Plaistow, NH",-71.1034688,42.8154894
Shaw's,Q01807,Windham,"Windham, NH","43 Indian Rock Rd, Windham, NH",-71.2901396,42.8080182
