Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Acme Markets,Q02168,Audubon,"Audubon, NJ","100 Black Horse Pike, Audubon, NJ",-75.0887945,39.8931537
Acme Markets,Q01585,Bordentown,"Bordentown, NJ","260 Dunns Mill Rd, Bordentown, NJ",-74.7258339,40.1335669
Acme Markets,Q02329,Freehold Township,"Freehold Township, NJ","3241 US-9, Freehold Township, NJ",-74.2635993,40.219372
Acme Markets,Q02144,Gloucester Township,"Gloucester Township, NJ","415 Egg Harbor Rd, Gloucester Township, NJ",-75.0752234,39.7488348
Acme Markets,Q02081,Mount Holly,"Mount Holly, NJ","531 High St, Mount Holly, NJ",-74.7946883,40.0072159
Acme Markets,Q02046,Runnemede,"Runnemede, NJ","501 E Evesham Rd, Runnemede, NJ",-75.0591835,39.8488831
Acme Markets,Q02120,Sicklerville,"Sicklerville, NJ","515 Berlin - Cross Keys Rd, Sicklerville, NJ",-74.9981324,39.744595
Acme Markets,Q01932,Trenton,"Trenton, NJ","953 NJ-33, Trenton, NJ",-74.6709188,40.2285022
Acme Markets,Q02090,Trenton,"Trenton, NJ","4400 S Broad St, Trenton, NJ",-74.673041,40.1819478
Acme Markets,Q02152,Voorhees Township,"Voorhees Township, NJ","700 Haddonfield-Berlin Rd, Voorhees Township, NJ",-74.9822917,39.8530874
Acme Markets,Q02141,West Deptford,"West Deptford, NJ","631 Mantua Pike, West Deptford, NJ",-75.1614118,39.8271275
Acme Markets,Q02293,Willingboro,"Willingboro, NJ","23 Levitt Pkwy, Willingboro, NJ",-74.8857989,40.0330851
