Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Kroger,Q00828,Canal Winchester,"Canal Winchester, OH","6095 Gender Rd, Canal Winchester, OH",39.8556229,-82.8296626
Kroger,Q01398,Centerville,"Centerville, OH","1095 S Main St, Centerville, OH",39.606981,-84.1629679
Kroger,Q00697,Cincinnati,"Cincinnati, OH","6165 Glenway Ave, Cincinnati, OH",39.1427461,-84.6227724
Kroger,Q00705,Cincinnati,"Cincinnati, OH","4500 Montgomery Rd, Cincinnati, OH",39.1586716,-84.4554976
Kroger,Q00710,Cincinnati,"Cincinnati, OH","4613 Marburg Ave, Cincinnati, OH",39.1596348,-84.4254529
Kroger,Q00750,Cincinnati,"Cincinnati, OH","3609 Warsaw Ave, Cincinnati, OH",39.110259,-84.57095129999999
Kroger,Q00759,Cincinnati,"Cincinnati, OH","10595 Springfield Pike, Cincinnati, OH",39.2602288,-84.4699929
Kroger,Q00760,Cincinnati,"Cincinnati, OH","7132 Hamilton Ave, Cincinnati, OH",39.2238979,-84.54862899999999
Kroger,Q00761,Cincinnati,"Cincinnati, OH","3636 Springdale Rd, Cincinnati, OH",39.2487479,-84.5998926
Kroger,Q00772,Cincinnati,"Cincinnati, OH","5910 Harrison Ave, Cincinnati, OH",39.1770894,-84.6415361
Kroger,Q01038,Cincinnati,"Cincinnati, OH","1 W Corry St, Cincinnati, OH",39.1284677,-84.50927399999999
Kroger,Q01117,Cincinnati,"Cincinnati, OH","11390 Montgomery Rd, Cincinnati, OH",39.271545,-84.32589980000002
Kroger,Q00620,Columbus,"Columbus, OH","150 W Sycamore St, Columbus, OH",39.9501089,-83.0021204
Kroger,Q00645,Columbus,"Columbus, OH","7000 E Broad St, Columbus, OH",39.98293899999999,-82.81732199999999
Kroger,Q00671,Columbus,"Columbus, OH","1177 Polaris Pkwy, Columbus, OH",40.140081,-82.98996989999999
Kroger,Q00681,Columbus,"Columbus, OH","1375 Chambers Rd, Columbus, OH",39.9927455,-83.0435322
Kroger,Q00659,Dublin,"Dublin, OH","7625 Sawmill Rd, Dublin, OH",40.121658,-83.09275389999999
Kroger,Q00677,Dublin,"Dublin, OH","7100 Hospital Dr, Dublin, OH",40.1030392,-83.16424459999999
Kroger,Q00698,Gahanna,"Gahanna, OH","300 S Hamilton Rd, Gahanna, OH",39.9690178,-82.8750899
Kroger,Q00708,Gahanna,"Gahanna, OH","1365 Stoneridge Dr, Gahanna, OH",40.0541308,-82.8675116
Kroger,Q00687,Galloway,"Galloway, OH","5800 W Broad St, Galloway, OH",39.9520432,-83.15518469999999
Kroger,Q00857,Grove City,"Grove City, OH","2474 Stringtown Rd, Grove City, OH",39.8827959,-83.0685197
Kroger,Q00651,Groveport,"Groveport, OH","6011 Groveport Rd, Groveport, OH",39.8541621,-82.8993875
Kroger,Q00688,Lewis Center,"Lewis Center, OH","6417 Columbus Pike, Lewis Center, OH",40.2031987,-83.0275992
Kroger,Q00673,New Albany,"New Albany, OH","5161 Hampsted Village Center Way, New Albany, OH",40.0889404,-82.8254934
Kroger,Q00628,Pickerington,"Pickerington, OH","1045 Hill Rd N, Pickerington, OH",39.9076244,-82.7778125
Kroger,Q01058,Plain City,"Plain City, OH","12116 Sycamore Trace, Plain City, OH",40.1876668,-83.20135789999999
Kroger,Q00639,Reynoldsburg,"Reynoldsburg, OH","6580 E Main St, Reynoldsburg, OH",39.9563306,-82.82198939999999
Kroger,Q00646,Reynoldsburg,"Reynoldsburg, OH","8460 E Main St, Reynoldsburg, OH",39.956881,-82.77367579999999
Kroger,Q01391,Vandalia,"Vandalia, OH","780 Northwoods Blvd, Vandalia, OH",39.9000249,-84.1850165
Kroger,Q01035,West Chester,"West Chester, OH","8000 Princeton Glendale Rd, West Chester, OH",39.3592593,-84.4580469
