Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Acme Markets,Q01586,Clifton Heights,"Clifton Heights, PA","5300 Baltimore Pike, Clifton Heights, PA",39.9251118,-75.3084449
Acme Markets,Q01589,Feasterville,"Feasterville, PA","105 E Street Rd, Feasterville, PA",40.1478733,-75.0005061
Acme Markets,Q01547,Folsom,"Folsom, PA","124 Morton Ave, Folsom, PA",39.8848787,-75.3282815
Acme Markets,Q01570,Havertown,"Havertown, PA","1305 West Chester Pike, Havertown, PA",39.9741962,-75.3233482
Acme Markets,Q01577,Jenkintown,"Jenkintown, PA","323 Old York Rd, Jenkintown, PA",40.0917007,-75.1251046
Acme Markets,Q01572,Levittown,"Levittown, PA","6800 New Falls Rd, Levittown, PA",40.1518454,-74.857129
Acme Markets,Q01591,Media,"Media, PA","527 E Baltimore Ave, Media, PA",39.916042,-75.3785311
Acme Markets,Q01573,Newtown,"Newtown, PA","48 W Rd, Newtown, PA",40.2345578,-74.94509819999999
Acme Markets,Q01580,Paoli,"Paoli, PA","39 Leopard Rd, Paoli, PA",40.0393808,-75.4772152
Acme Markets,Q01552,Philadelphia,"Philadelphia, PA","1400 E Passyunk Ave, Philadelphia, PA",39.9320465,-75.16260799999999
Acme Markets,Q01588,Philadelphia,"Philadelphia, PA","3200-09 Red Lion Rd, Philadelphia, PA",40.0794617,-74.9933849
Acme Markets,Q01579,Wayne,"Wayne, PA","700 W Lancaster Ave, Wayne, PA",40.0453962,-75.407701
