Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Tanger Outlets Antioch,Q01787,Antioch,"Antioch, TN","4060 Cane Ridge Pkwy, Antioch, TN",36.0325676,-86.64458169999999
Kroger,Q01112,Brentwood,"Brentwood, TN","210 Franklin Rd, Brentwood, TN",36.0319395,-86.7874264
Kroger,Q01125,Brentwood,"Brentwood, TN","6690 Nolensville Rd, Brentwood, TN",35.9998106,-86.6917936
Kroger,Q01033,Franklin,"Franklin, TN","1203 Murfreesboro Rd, Franklin, TN",35.9174017,-86.8316005
Kroger,Q01224,Franklin,"Franklin, TN","2020 Mallory Ln, Franklin, TN",35.9509054,-86.8165424
Kroger,Q01839,Gallatin,"Gallatin, TN","2011 Nashville Pike, Gallatin, TN",36.3435236,-86.5261345
Kroger,Q01037,Goodlettsville,"Goodlettsville, TN","123 Northcreek Blvd, Goodlettsville, TN",36.3266063,-86.69976109999999
Kroger,Q01772,Hendersonville,"Hendersonville, TN","237 E Main St, Hendersonville, TN",36.3074134,-86.60189869999999
Kroger,Q01823,Hermitage,"Hermitage, TN","5544 Old Hickory Blvd, Hermitage, TN",36.1816624,-86.6064269
Kroger,Q01966,Hermitage,"Hermitage, TN","4400 Lebanon Pike, Hermitage, TN",36.2154776,-86.6033046
Kroger,Q00992,Murfreesboro,"Murfreesboro, TN","4432 Veterans Pkwy, Murfreesboro, TN",35.8440862,-86.4917577
Kroger,Q01027,Murfreesboro,"Murfreesboro, TN","2946 S Church St, Murfreesboro, TN",35.7902038,-86.40211889999999
Kroger,Q01029,Nashville,"Nashville, TN","143 McGavock Pk, Nashville, TN",36.1705586,-86.678578
Kroger,Q01034,Nashville,"Nashville, TN","61 E Thompson Ln, Nashville, TN",36.110944,-86.7246595
Kroger,Q02179,Nashville,"Nashville, TN","8141 TN-100, Nashville, TN",36.0432983,-86.9565417
Kroger,Q01017,Smyrna,"Smyrna, TN","463 Sam Ridley Pkwy W, Smyrna, TN",35.9840078,-86.55162410000001
Kroger,Q01108,Springfield,"Springfield, TN","2600 Memorial Blvd, Springfield, TN",36.4885615,-86.8633775
Kroger,Q01895,Thompson's Station,"Thompson's Station, TN","4726 Traders Way, Thompson's Station, TN",35.78476029999999,-86.9156272
