Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Tom Thumb,Q00912,Addison,"Addison, TX","14280 Marsh Ln, Addison, TX",32.9384086,-96.8536945
Kroger,Q00950,Addison,"Addison, TX","3770 Belt Line Rd, Addison, TX",32.9504624,-96.852773
Kroger,Q00903,Allen,"Allen, TX","1212 E Bethany Dr, Allen, TX",33.0838269,-96.6450006
Kroger,Q00911,Allen,"Allen, TX","1210 N Greenville Ave, Allen, TX",33.1161863,-96.6516883
Kroger,Q00297,Alvin,"Alvin, TX","3100 S Gordon St, Alvin, TX",29.398504,-95.2494797
Tom Thumb,Q00906,Arlington,"Arlington, TX","2755 N Collins St, Arlington, TX",32.7833664,-97.0933815
Albertsons,Q00908,Azle,"Azle, TX","480 Northwest Pkwy, Azle, TX",32.9020138,-97.5443889
Kroger,Q00771,Baytown,"Baytown, TX","1700 N Alexander Dr, Baytown, TX",29.7401869,-94.9520407
H-E-B,Q00541,Bellaire,"Bellaire, TX","5106 Bissonnet St, Bellaire, TX",29.7076365,-95.4695077
Albertsons,Q00960,Burleson,"Burleson, TX","833 NE Alsbury Blvd, Burleson, TX",32.5650416,-97.3221632
WinCo Foods,Q00477,Carrollton,"Carrollton, TX","2620 N. Josey Lane, Carrollton, TX",32.9865784,-96.8888878
Albertsons,Q00914,Carrollton,"Carrollton, TX","2150 N Josey Ln, Carrollton, TX",32.975152,-96.8882211
Kroger,Q00376,Conroe,"Conroe, TX","2222 Interstate 45 N, Conroe, TX",30.33557009999999,-95.4779908
Kroger,Q00408,Conroe,"Conroe, TX","341 S Loop 336 W, Conroe, TX",30.2763194,-95.4649423
Tom Thumb,Q00915,Coppell,"Coppell, TX","106 N Denton Tap Rd, Coppell, TX",32.9706941,-96.991895
Albertsons,Q00953,Corinth,"Corinth, TX","4351 FM 2181, Corinth, TX",33.1314574,-97.0433377
H-E-B,Q00522,Cypress,"Cypress, TX","14100 Spring Cypress Rd, Cypress, TX",30.0028691,-95.6389541
H-E-B,Q00524,Cypress,"Cypress, TX","9722 Fry Rd, Cypress, TX",29.9270923,-95.7252432
H-E-B,Q00530,Cypress,"Cypress, TX","24224 Northwest Fwy, Cypress, TX",29.9574758,-95.6732414
Kroger,Q00557,Cypress,"Cypress, TX","9703 Barker Cypress Rd, Cypress, TX",29.9191279,-95.6895196
Kroger,Q00558,Cypress,"Cypress, TX","17455 Spring Cypress Rd, Cypress, TX",29.9720665,-95.6914295
