Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Smith's,Q00812,Brigham City,"Brigham City, UT","156 S Main St, Brigham City, UT",41.5065801,-112.0168971
Smith's,Q00787,Draper,"Draper, UT","212 E 12300 S, Draper, UT",40.5254014,-111.8849916
WinCo Foods,Q02054,Herriman,"Herriman, UT","11969 Carlsbad Way, Herriman, UT",40.5333958,-112.0144399
Smith's,Q00793,Lehi,"Lehi, UT","1550 E 3500 N, Lehi, UT",40.4296556,-111.8245596
WinCo Foods,Q01715,Logan,"Logan, UT","1341 Main St, Logan, UT",41.756663,-111.8352052
WinCo Foods,Q01449,Midvale,"Midvale, UT","7020 S 700 W, Midvale, UT",40.6242123,-111.9101954
Smith's,Q00798,Ogden,"Ogden, UT","4275 Harrison Blvd, Ogden, UT",41.1860271,-111.9500257
WinCo Foods,Q01708,Ogden,"Ogden, UT","205 W 12th St, Ogden, UT",41.2421665,-111.981364
Smith's,Q00783,Payson,"Payson, UT","632 S 100 W, Payson, UT",40.0343054,-111.7350173
Smith's,Q00792,Pleasant Grove,"Pleasant Grove, UT","210 E 700 S, Pleasant Grove, UT",40.353691,-111.737118
Smith's,Q00791,Salt Lake City,"Salt Lake City, UT","4065 S Redwood Rd, Salt Lake City, UT",40.6840959,-111.9384856
Smith's,Q00794,Salt Lake City,"Salt Lake City, UT","876 E 800 S, Salt Lake City, UT",40.7515457,-111.8658749
Smith's,Q00781,Sandy,"Sandy, UT","2039 E 9400 S, Sandy, UT",40.5816866,-111.8327594
WinCo Foods,Q01451,South Salt Lake,"South Salt Lake, UT","2193 S Main St, South Salt Lake, UT",40.7243857,-111.8902082
Smith's,Q00795,West Jordan,"West Jordan, UT","4080 W 9000 S, West Jordan, UT",40.5892564,-111.9868203
Smith's,Q00784,West Valley City,"West Valley City, UT","4643 S 4000 W, West Valley City, UT",40.668717,-111.9848634
Smith's,Q00802,West Valley City,"West Valley City, UT","5620 W 4100 S, West Valley City, UT",40.6840576,-112.0258546
WinCo Foods,Q02053,West Valley City,"West Valley City, UT","2572 S 5600 W, West Valley City, UT",40.713905,-112.0263157
