Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Safeway,Q01433,Alexandria,"Alexandria, VA","5980 Kingstowne Towne Ctr, Alexandria, VA",-77.1414158,38.7699929
Safeway,Q01434,Alexandria,"Alexandria, VA","1624 Belle View Blvd, Alexandria, VA",-77.0607533,38.7764388
Safeway,Q02075,Alexandria,"Alexandria, VA","3526 King St, Alexandria, VA",-77.0896033,38.8278508
Safeway,Q01435,Annandale,"Annandale, VA","7414 Little River Turnpike, Annandale, VA",-77.2008136,38.832325
Safeway,Q01546,Bristow,"Bristow, VA","12821 Braemar Village Pz, Bristow, VA",-77.5706064,38.7508043
Safeway,Q01549,Burke,"Burke, VA","5727 Burke Centre Pkwy, Burke, VA",-77.3212248,38.7998647
Safeway,Q02057,Burke,"Burke, VA","9596 Old Keene Mill Rd, Burke, VA",-77.275176,38.7784644
Safeway,Q01412,Dale City,"Dale City, VA","4215 Cheshire Station Plaza, Dale City, VA",-77.3342372,38.6456045
Safeway,Q01482,Fairfax,"Fairfax, VA","3043 Nutley St, Fairfax, VA",-77.2625505,38.8709568
Safeway,Q02174,Fairfax,"Fairfax, VA","12200 Fairfax Towne Center, Fairfax, VA",-77.3688701,38.8662821
Safeway,Q02069,Falls Church,"Falls Church, VA","6118 Arlington Blvd, Falls Church, VA",-77.1464716,38.870133
Safeway,Q01417,McLean,"McLean, VA","1688 Anderson Rd, McLean, VA",-77.2020713,38.9225899
Safeway,Q02061,Woodbridge,"Woodbridge, VA","4220 Merchant Plaza, Woodbridge, VA",-77.3344279,38.6746992
