Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Pick 'n Save,Q01073,Appleton,"Appleton, WI","2700 N Ballard Rd, Appleton, WI",44.2860963,-88.3724235
Pick 'n Save,Q00730,Brown Deer,"Brown Deer, WI","9200 N Green Bay Rd, Brown Deer, WI",43.1849341,-87.96273099999999
Pick 'n Save,Q01086,Fitchburg,"Fitchburg, WI","3010 Cahill Main, Fitchburg, WI",43.01861299999999,-89.4212536
Pick 'n Save,Q01093,Hartland,"Hartland, WI","3161 Village Square Drive, Hartland, WI",43.1032661,-88.3653444
Pick 'n Save,Q00694,Kenosha,"Kenosha, WI","5710 75th St, Kenosha, WI",42.5685164,-87.8771266
Woodman's Market,Q00709,Kenosha,"Kenosha, WI","7145 120th Ave, Kenosha, WI",42.57032299999999,-87.9478783
Pick 'n Save,Q01040,Kenosha,"Kenosha, WI","2811 18th St, Kenosha, WI",42.6234976,-87.8436177
Pick 'n Save,Q00693,Madison,"Madison, WI","6655 McKee Road, Madison, WI",43.0136629,-89.4979985
Metro Market,Q01504,Madison,"Madison, WI","6010 Cottage Grove Road, Madison, WI",43.0851822,-89.2758656
Pick 'n Save,Q01111,Menomonee Falls,"Menomonee Falls, WI","N77 W14435 Appleton Avenue, Menomonee Falls, WI",43.1581079,-88.0905443
Pick 'n Save,Q01043,Milwaukee,"Milwaukee, WI","3701 S 27th Street, Milwaukee, WI",42.9776228,-87.95036320000001
Pick 'n Save,Q01114,Milwaukee,"Milwaukee, WI","7401 W Good Hope Rd, Milwaukee, WI",43.146908,-88.0023353
Pick 'n Save,Q01044,Mount Pleasant,"Mount Pleasant, WI","2820 S Green Bay Rd, Mount Pleasant, WI",42.6987777,-87.85666309999999
Pick 'n Save,Q00696,Oak Creek,"Oak Creek, WI","2320 W Ryan Rd, Oak Creek, WI",42.8745397,-87.94803139999999
Pick 'n Save,Q01052,Oak Creek,"Oak Creek, WI","8770 S Howell Ave, Oak Creek, WI",42.8849539,-87.9097731
Pick 'n Save,Q01047,Racine,"Racine, WI","1202 N Green Bay Road, Racine, WI",42.7356158,-87.84070799999999
Pick 'n Save,Q01095,Sussex,"Sussex, WI","N65 W24838 Main St, Sussex, WI",43.1371593,-88.240736
Pick 'n Save,Q01053,West Allis,"West Allis, WI","2625 S 108th St, West Allis, WI",42.99685789999999,-88.0497566
