State,Last Updated
AZ,2025-03-20T16:24:40Z
CA,2025-03-24T22:30:03Z
CO,2025-03-20T16:24:43Z
GA,2025-03-20T16:24:44Z
IL,2025-03-20T16:24:45Z
IN,2025-03-20T16:24:45Z
KY,2025-03-20T16:24:46Z
MI,2025-03-20T16:24:47Z
NV,2025-03-21T16:56:49Z
OH,2025-03-20T16:24:49Z
OR,2025-03-20T16:24:50Z
TN,2025-03-20T16:24:50Z
TX,2025-03-20T16:24:52Z
UT,2025-03-20T16:24:53Z
WA,2025-03-20T16:27:04Z
WI,2025-03-20T16:27:05Z
MD,2025-03-20T16:27:05Z
MA,2025-03-20T16:27:06Z
NH,2025-03-20T16:27:06Z
RI,2025-03-20T16:27:07Z
VA,2025-03-20T16:27:07Z
DC,2025-03-18T21:40:09Z
DE,2025-03-18T21:39:58Z
ID,2025-03-18T21:40:35Z
NJ,2025-03-11T19:26:13Z
PA,2025-03-11T19:26:36Z
